lat,lon,00:00Z 2025-03-05,00:00Z 2025-03-06,00:00Z 2025-03-07,00:00Z 2025-03-08,00:00Z 2025-03-09,00:00Z 2025-03-10,00:00Z 2025-03-11,00:00Z 2025-03-12,00:00Z 2025-03-13
4.007606,97.61444,0.46000000834465027,0.5400000214576721,0.0,0.949999988079071,0.41999998688697815,0.49000000953674316,0.25,3.2899999618530273,0.03999999910593033
4.007606,97.69757,0.7400000095367432,0.23000000417232513,0.0,0.05999999865889549,0.47999998927116394,0.1599999964237213,0.009999999776482582,0.44999998807907104,0.12999999523162842
4.007606,97.78071,0.23000000417232513,0.05000000074505806,0.0,0.27000001072883606,0.7799999713897705,0.05000000074505806,0.15000000596046448,1.3200000524520874,0.0
4.007606,97.863846,0.009999999776482582,0.029999999329447746,0.0,0.41999998688697815,0.7400000095367432,0.10000000149011612,0.07999999821186066,4.739999771118164,0.03999999910593033
4.007606,97.94698,0.10000000149011612,0.0,0.0,0.03999999910593033,0.49000000953674316,0.11999999731779099,0.0,4.340000152587891,0.27000001072883606
4.007606,98.03012,0.0,0.0,0.0,0.0,0.41999998688697815,0.05999999865889549,0.0,0.10999999940395355,0.20999999344348907
4.007606,98.11325,0.0,0.0,0.0,0.0,0.4399999976158142,0.05999999865889549,0.0,0.0,0.3199999928474426
4.007606,98.19639,0.0,0.0,0.0,0.0,0.4099999964237213,0.03999999910593033,0.0,0.0,0.05000000074505806
4.007606,98.279526,0.0,0.0,0.0,0.0,0.2800000011920929,0.05999999865889549,0.0,0.0,0.0
4.007606,98.36266,0.009999999776482582,0.0,0.0,0.0,0.15000000596046448,0.1599999964237213,0.0,0.0,0.0
4.007606,98.4458,0.0,0.0,0.0,0.0,0.15000000596046448,0.019999999552965164,0.0,0.0,0.0
4.007606,98.52893,0.019999999552965164,0.0,0.0,0.0,0.41999998688697815,0.05000000074505806,0.0,0.0,0.0
4.007606,98.612076,0.0,0.0,0.0,0.0,0.5199999809265137,0.10999999940395355,0.0,0.0,0.0
4.007606,98.695206,0.009999999776482582,0.0,0.0,0.0,0.30000001192092896,0.09000000357627869,0.0,0.0,0.009999999776482582
4.007606,98.77834,0.0,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,0.0,0.029999999329447746,1.340000033378601
4.007606,98.86148,0.07000000029802322,0.0,0.0,0.0,0.0,0.029999999329447746,0.0,0.07000000029802322,0.14000000059604645
4.007606,98.94461,0.07000000029802322,0.0,0.0,0.0,0.0,0.09000000357627869,0.0,0.03999999910593033,0.009999999776482582
