DateTime,E.91,E.8A,BTH,E.66A,E.87,WY,RE
25/07/2025 22:00,107.431228638,110.286384583,111.206581116,118.393333435,135.081192017,118.979660034,268.919311523
25/07/2025 23:00,107.349983215,110.127410889,111.190132141,114.814682007,135.049606323,110.283508301,268.373077393
26/07/2025 00:00,107.271530151,109.972564697,110.73286438,115.315910339,135.020233154,110.828353882,267.935791016
26/07/2025 01:00,107.197021484,109.826187134,110.840606689,115.335449219,134.993133545,111.162742615,267.375793457
26/07/2025 02:00,107.126098633,109.675056458,110.917510986,115.375930786,134.968276978,111.361785889,266.885101318
26/07/2025 03:00,107.055969238,109.532012939,110.951057434,115.948394775,134.945739746,111.866714478,266.394104004
26/07/2025 04:00,106.990608215,109.391670227,110.574859619,111.973220825,134.925552368,112.234024048,265.921325684
26/07/2025 05:00,106.929550171,109.260498047,110.644317627,116.651847839,134.907714844,112.791488647,265.46307373
26/07/2025 06:00,106.874000549,109.133888245,109.60433197,112.656326294,134.892272949,113.154327393,264.925384521
26/07/2025 07:00,106.819328308,109.003356934,109.473815918,113.304542542,134.879272461,113.799438477,264.568450928
26/07/2025 08:00,106.769134521,108.878684998,109.507263184,113.438331604,134.86920166,114.254936218,264.008392334
26/07/2025 09:00,106.722297668,108.752288818,109.601219177,113.486572266,134.862091064,114.514251709,263.613983154
26/07/2025 10:00,106.684898376,108.63129425,109.663696289,113.538749695,134.858078003,114.699234009,263.139099121
26/07/2025 11:00,106.650260925,108.516548157,109.69380188,113.567085266,134.857223511,114.939712524,262.692169189
26/07/2025 12:00,106.617332458,108.41002655,108.268966675,110.673141479,134.859680176,104.755996704,262.275543213
26/07/2025 13:00,106.594184875,108.306777954,109.478866577,114.684318542,134.865631104,115.901489258,261.859802246
26/07/2025 14:00,106.57585907,108.205070496,108.186073303,110.385307312,134.875183105,105.482757568,261.437408447
26/07/2025 15:00,106.561882019,108.102577209,109.558502197,114.389251709,134.888534546,116.738777161,261.078033447
